PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0492,Descriptive,6,1,3,3,0.833333333333333,0.4,0.4,2,1,1,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0739,Causal,15,5,7,6.5,0.666666666666667,0.3,0.35,3,3,3,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0306,Causal,15,2,8,6.8333333,0.866666666666667,0.384615384615385,0.474358976923077,4,0,4,1,0.25,Yes,3-10,>=50%,Non-Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0112,Causal,14,4,6,5.6666667,0.714285714285714,0.4,0.43333333,3,2,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0613,Causal,15,4,7,6.6666667,0.733333333333333,0.363636363636364,0.393939390909091,3,3,3,0,0,No,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
STUDY-0522,Causal,15,4,6,6,0.733333333333333,0.454545454545455,0.454545454545455,4,2,4,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
STUDY-0792,Causal,12,1,6,5,0.916666666666667,0.454545454545455,0.545454545454545,1,1,1,1,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Funded
STUDY-0248,Causal,16,3,5,4.5,0.8125,0.615384615384615,0.653846153846154,3,2,3,0,0,No,11+,<50%,Saudi,Non-Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0189,Causal,18,1,7,6.6666667,0.944444444444444,0.588235294117647,0.607843135294118,3,1,3,2,0.666666666666667,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Not stated
STUDY-0701,Descriptive,7,2,3,2.5,0.714285714285714,0.4,0.5,2,2,2,0,0,Yes,11+,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,None,None,Not stated
STUDY-0040,Causal,19,1,6,5.6666667,0.947368421052632,0.666666666666667,0.685185183333333,4,0,4,0,0,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
