stratifier,task,measure,n_levels,spread,lo_level,lo_val,lo_n,hi_level,hi_val,hi_n,task_mean
Sector composition,Descriptive,mean_dom_gap,2,0.235294117647059,Health-system,1,30,Academic-only,1.23529411764706,51,1.14814814814815
Sector composition,Descriptive,pct_ge3,2,26.6666666666667,Health-system,40,30,Academic-only,66.6666666666667,51,56.7901234567901
Sector composition,Descriptive,pct_val,2,4.8666625353742,Health-system,42.9447852760736,30,Academic-only,47.8114478114478,51,46.0089802057537
Sector composition,Descriptive,pct_worst,2,7.67387577203528,Health-system,61.3496932515337,30,Academic-only,69.023569023569,51,66.1813928117041
Sector composition,Descriptive,mean_ack,2,0.084640522875817,Academic-only,0.315359477124183,51,Health-system,0.4,30,0.346707818930041
Sector composition,Causal,mean_err_w,2,0.459687094116614,Health-system,5.60388129178082,73,Academic-only,6.06356838589744,156,5.91703057860262
Sector composition,Causal,mean_val_err,2,0.643923428170003,Health-system,6.05479452054795,73,Academic-only,6.69871794871795,156,6.49344978165939
Sector composition,Causal,mean_rep_gap,2,0.476993326308395,Health-system,1.95890410958904,73,Academic-only,2.43589743589744,156,2.28384279475982
Sector composition,Causal,mean_validity,2,0.033498757454508,Academic-only,0.474458532815433,156,Health-system,0.507957290269941,73,0.485137176021455
Sector composition,Causal,mean_transparency,2,0.0243733004385613,Academic-only,0.837228471860229,156,Health-system,0.861601772298791,73,0.844998126585186
Sector composition,Causal,mean_dom_flag,2,0.283807516684229,Health-system,2.97260273972603,73,Academic-only,3.25641025641026,156,3.16593886462882
Sector composition,Causal,mean_dom_gap,2,0.1357569371268,Health-system,1.08219178082192,73,Academic-only,1.21794871794872,156,1.17467248908297
Sector composition,Causal,pct_ge3,2,10.7305936073059,Health-system,72.6027397260274,73,Academic-only,83.3333333333333,156,79.9126637554585
Sector composition,Causal,pct_val,2,2.55524100150741,Health-system,52.5423728813559,73,Academic-only,55.0976138828633,156,54.2830610745225
Sector composition,Causal,pct_worst,2,4.03428697483626,Health-system,71.6707021791768,73,Academic-only,75.704989154013,156,74.4189500746984
Sector composition,Causal,mean_ack,2,0.0213309331460017,Academic-only,0.303098290598291,156,Health-system,0.324429223744292,73,0.309898107714702
Single vs multi-sector,Descriptive,mean_err_w,2,0.301639344262295,Single-sector,3.09836065573771,61,Multi-sector,3.4,20,3.17283950617284
Single vs multi-sector,Descriptive,mean_val_err,2,0.388524590163934,Single-sector,3.31147540983607,61,Multi-sector,3.7,20,3.40740740740741
Single vs multi-sector,Descriptive,mean_rep_gap,2,0.135245901639344,Single-sector,1.11475409836066,61,Multi-sector,1.25,20,1.14814814814815
Single vs multi-sector,Descriptive,mean_validity,2,0.0546262685402029,Multi-sector,0.390416666666667,20,Single-sector,0.44504293520687,61,0.431554967666079
