PMID,n_sectors,lead_saudi_type,multisector,multisector_union,health_system,health_system_union
STUDY-0968,1,University,False,False,False,False
STUDY-0919,1,University,False,False,False,False
STUDY-0460,2,University,True,True,True,True
STUDY-0617,1,Hospital & research centre,False,False,True,True
STUDY-0847,1,University,False,False,False,False
STUDY-0674,2,University,True,True,True,True
STUDY-0299,1,Hospital / medical city,False,False,True,True
STUDY-0271,1,University,False,False,False,False
STUDY-0580,1,University,False,False,False,False
STUDY-0425,1,University,False,False,False,False
STUDY-0982,3,University,True,True,True,True
STUDY-0783,2,University,True,True,True,True
STUDY-0466,2,University,True,True,True,True
STUDY-0228,1,University,False,False,False,False
STUDY-0708,1,University,False,False,False,False
STUDY-0380,1,Hospital & research centre,False,False,True,True
STUDY-0893,1,Military & security-forces medical,False,False,True,True
STUDY-0196,1,University,False,False,False,False
STUDY-0437,1,University,False,False,False,False
STUDY-0566,2,University,True,True,True,True
STUDY-0928,1,University,False,False,False,False
STUDY-0099,1,University,False,False,False,False
STUDY-0202,1,University,False,False,False,False
STUDY-0019,1,University,False,False,False,False
STUDY-0100,1,University,False,False,False,False
